------------------------phase one-------------------------
car : 0.7753595211911086
person : 0.6828091765120206
motorbike : -1
horse : 0.7580391553183398
boat : 0.5585779450870744
sheep : 0.5831653477013803
aeroplane : 0.6962242967027658
chair : 0.4711741649553142
bus : -1
tvmonitor : 0.6733929643739851
sofa : 0.0
cow : -1
dog : 0.7052281253301041
cat : 0.7702643246467133
bicycle : 0.7057819619359103
diningtable : 0.6364538706842392
bottle : 0.3744977783325053
train : 0.7844879769675295
bird : 0.0
pottedplant : 0.3972053246433775

------------------phase two - iter 199 -----------------
car : 0.6678279141650705
person : 0.5993580211224321
motorbike : 0.43968329495099967
horse : 0.5267678492981308
boat : 0.4177413594497673
sheep : 0.504597233210766
aeroplane : 0.6138477465607537
chair : 0.36928902250299506
bus : 0.4785687071389786
tvmonitor : 0.5905409932170174
sofa : 0.07849954162997157
cow : 0.27592534990987694
dog : 0.5334088867973404
cat : 0.6809499470604494
bicycle : 0.648598289053368
diningtable : 0.2651748556200204
bottle : 0.30464483927623903
train : 0.6038240961148893
bird : 0.20162080551039077
pottedplant : 0.24040260965702795

------------------phase two - iter 79 -----------------
car : 0.6939968797326834
person : 0.6419315448608127
motorbike : 0.4226088233868732
horse : 0.5898817723415704
boat : 0.446295524190175
sheep : 0.5220244805261616
aeroplane : 0.6519686230773153
chair : 0.3896470320964857
bus : 0.47874468494853645
tvmonitor : 0.6085185396002627
sofa : 0.1236533227152679
cow : 0.377796772946772
dog : 0.5573530522718056
cat : 0.6917910601974633
bicycle : 0.6172459512937922
diningtable : 0.492511818776733
bottle : 0.37947313790889536
train : 0.6561637788038991
bird : 0.19699490271095024
pottedplant : 0.2701570794143541car : 0.6939968797326834
person : 0.6419315448608127
motorbike : 0.4226088233868732
horse : 0.5898817723415704
boat : 0.446295524190175
sheep : 0.5220244805261616
aeroplane : 0.6519686230773153
chair : 0.3896470320964857
bus : 0.47874468494853645
tvmonitor : 0.6085185396002627
sofa : 0.1236533227152679
cow : 0.377796772946772
dog : 0.5573530522718056
cat : 0.6917910601974633
bicycle : 0.6172459512937922
diningtable : 0.492511818776733
bottle : 0.37947313790889536
train : 0.6561637788038991
bird : 0.19699490271095024
pottedplant : 0.2701570794143541

------------------phase two - iter 1999 -----------------
car : 0.663283701878938
person : 0.6187064842808705
motorbike : 0.4353922042984241
horse : 0.571370468895319
boat : 0.43341164517034225
sheep : 0.4805608503957363
aeroplane : 0.6477936402600094
chair : 0.3644821111473294
bus : 0.46056900904420034
tvmonitor : 0.5949789888935377
sofa : 0.07008984106387067
cow : 0.39390073807434794
dog : 0.5634845813157592
cat : 0.6872196787175479
bicycle : 0.5891151612776253
diningtable : 0.48916709251707374
bottle : 0.358709981352142
train : 0.6534916709478721
bird : 0.1911672718209005
pottedplant : 0.2631260246168723
